ri1,ro1,ri2,ro2,ri3,ro3,rot1,rot2,x1
0,7,18,25,53,59,149,166,8
0,9,22,28,41,53,100,42,8
0,16,27,36,53,58,90,127,19
0,12,27,41,51,56,65,59,9
0,5,21,30,45,55,167,40,10
0,8,35,42,52,58,103,85,8
0,11,24,40,51,56,151,71,10
0,8,26,42,55,60,54,76,19
0,5,18,27,45,51,143,165,10
0,8,20,38,52,60,110,144,7
0,13,25,39,52,60,76,140,27
0,6,16,37,48,57,158,86,17
0,7,18,30,41,50,164,171,7
0,9,19,26,36,58,103,35,7
0,5,24,37,49,56,161,141,23
0,9,20,41,52,59,164,48,6
0,5,15,29,46,56,70,58,19
0,14,25,30,45,54,81,173,8
0,9,21,28,45,56,147,103,16
0,6,22,33,45,58,145,74,16
0,10,21,30,45,56,101,61,17
0,7,23,38,53,60,160,114,17
0,14,24,29,49,55,140,33,13
0,12,27,33,50,60,153,52,13
0,11,26,39,52,58,92,27,12
0,5,18,28,52,59,140,164,16
0,15,26,33,45,56,114,50,18
0,16,28,39,54,60,86,137,9
0,7,32,37,49,57,132,74,13
0,6,22,28,48,57,137,79,13
0,10,25,34,47,56,171,20,6
0,9,24,30,45,59,77,50,15
0,5,15,27,40,50,135,87,5
0,7,17,23,45,52,119,86,5
0,11,28,40,52,57,70,26,8
0,6,16,25,47,57,171,20,6
0,10,29,39,54,59,69,29,8
0,7,18,34,48,54,138,107,24
0,6,18,30,44,53,66,44,7
0,13,23,29,47,56,101,142,9
0,5,27,32,46,60,91,54,12
0,11,24,35,46,51,114,74,10
0,7,21,43,53,60,169,115,15
0,6,19,30,46,52,131,110,14
0,7,17,29,48,58,162,14,5
0,12,24,30,40,55,173,88,12
0,13,35,40,50,59,85,33,11
0,18,33,39,52,58,150,44,14
0,8,19,27,54,59,74,35,5
0,16,26,41,55,60,90,42,9
0,5,18,26,51,58,137,94,9
0,6,16,34,51,58,109,170,6
0,8,22,35,46,53,155,150,14
0,5,19,36,50,60,66,152,9
0,7,21,38,50,57,89,154,22
0,6,18,41,55,60,115,109,5
0,8,24,29,42,55,120,35,10
0,5,21,34,51,57,162,21,7
0,8,18,26,50,57,153,64,7
0,8,26,39,53,58,52,71,26
0,6,24,31,42,60,126,172,8
0,9,19,24,45,59,126,29,5
0,11,30,37,47,54,139,56,17
0,13,33,39,51,57,72,83,6
0,5,22,28,49,55,59,96,15
0,8,18,29,50,59,147,72,12
0,5,15,34,55,60,156,32,14
0,10,27,32,43,59,88,169,5
0,9,21,29,42,58,84,55,16
0,5,16,36,46,55,81,74,11
0,9,24,37,51,59,124,72,25
0,10,22,33,51,59,148,32,6
0,9,23,34,48,55,137,39,15
0,5,18,24,40,45,71,91,6
0,6,16,24,42,55,174,152,9
0,6,17,23,48,57,59,23,8
0,6,17,39,49,56,129,83,17
0,9,23,31,44,54,112,34,12
0,7,18,35,45,59,148,47,17
0,6,18,25,37,58,129,22,7
0,6,16,31,46,54,81,121,24
0,11,28,38,48,58,105,95,7
0,8,20,25,51,59,87,28,7
0,7,33,40,55,60,56,115,13
0,5,15,21,32,47,107,42,5
0,15,29,38,51,58,140,85,11
0,14,25,36,53,58,173,111,20
0,8,18,29,46,53,105,40,9
0,12,23,33,44,51,83,134,20
0,8,21,33,51,56,60,66,22
0,14,24,30,41,53,153,60,6
0,11,25,39,52,58,130,108,14
0,8,20,25,40,56,148,32,7
0,8,19,39,53,59,128,120,24
0,12,24,30,46,54,138,102,12
0,6,30,38,49,57,117,162,10
0,18,29,38,48,54,174,90,16
0,7,31,42,55,60,145,62,12
0,7,24,39,52,57,74,119,13
0,15,33,40,50,60,90,54,12
0,19,36,41,51,60,172,165,9
0,13,23,33,43,53,119,49,17
0,8,18,34,47,52,151,40,13
0,9,20,25,39,45,128,23,7
0,10,20,28,38,48,138,40,11
0,7,26,39,49,56,129,41,11
0,5,18,26,37,51,79,46,6
0,18,31,36,52,58,168,51,12
0,5,26,39,53,58,94,34,12
0,6,29,40,52,59,106,86,6
0,6,24,36,47,55,139,26,10
0,5,16,36,53,59,96,92,13
0,11,22,31,43,59,153,90,11
0,5,21,41,53,60,174,34,11
0,19,32,39,54,60,118,96,15
0,12,32,39,51,56,124,88,10
0,5,22,33,48,59,41,104,16
0,8,18,27,46,56,77,21,7
0,9,22,30,44,53,136,113,16
0,10,23,29,41,46,111,165,8
0,10,21,31,41,48,161,96,7
0,6,21,36,46,52,108,70,5
0,7,27,33,48,59,166,81,14
0,5,27,36,50,56,141,12,5
0,5,20,36,49,54,56,33,5
0,5,16,28,42,48,171,75,6
0,12,31,36,50,60,72,32,10
0,12,22,33,45,59,102,45,5
0,5,22,40,51,57,151,94,23
0,7,22,28,40,54,125,127,15
0,8,18,24,44,51,164,37,7
0,5,20,26,40,52,60,33,10
0,5,17,23,35,60,83,37,8
0,19,31,45,55,60,88,53,8
0,19,30,36,54,59,122,34,11
0,7,18,35,53,58,107,50,21
0,6,26,34,48,60,42,118,17
0,7,18,28,39,54,154,56,10
0,13,28,37,48,56,115,44,7
0,9,24,29,39,47,172,100,8
0,10,28,33,43,54,145,43,15
0,11,21,27,43,49,96,46,12
0,12,24,30,42,59,111,34,11
0,6,16,28,40,53,149,51,6
0,10,21,36,47,55,101,27,6
0,7,25,34,47,58,87,162,17
0,9,20,26,38,56,107,134,10
0,11,22,40,50,55,79,145,17
0,14,25,43,55,60,113,48,12
0,5,35,45,55,60,84,36,12
0,13,24,41,53,58,145,19,8
0,5,21,36,46,58,91,82,5
0,6,17,27,45,59,144,164,12
0,6,26,38,52,58,40,87,9
0,5,16,31,51,57,76,65,6
0,6,17,25,36,53,155,39,7
0,13,23,28,44,51,156,30,5
0,7,25,35,47,53,44,80,13
0,11,26,32,49,55,138,42,15
0,7,19,28,52,58,116,27,5
0,5,19,31,47,54,172,128,18
0,7,18,32,43,49,131,120,18
0,5,17,22,35,48,93,30,5
0,10,20,41,51,60,86,79,26
0,5,15,27,39,56,103,20,5
0,10,29,34,49,57,144,60,14
0,11,22,31,52,60,170,57,13
0,6,33,38,48,53,29,22,6
0,5,19,29,47,55,45,34,6
0,8,28,33,43,50,89,40,9
0,8,24,30,51,60,90,53,6
0,8,25,35,47,60,121,66,13
0,6,30,43,54,59,103,97,12
0,7,32,39,49,58,114,42,5
0,7,17,30,41,60,146,26,7
0,6,19,27,44,56,98,34,9
0,8,21,40,51,57,164,26,5
0,18,31,39,53,59,124,147,20
0,17,30,36,48,55,160,137,11
0,12,26,32,44,59,154,22,5
0,15,25,34,53,59,151,122,13
0,5,19,30,40,58,153,49,16
0,5,16,22,36,58,63,23,6
0,6,16,25,47,53,100,29,6
0,7,22,28,41,60,58,35,12
0,8,19,26,39,45,133,26,8
0,9,27,33,46,60,53,54,13
0,7,26,37,49,59,134,85,16
0,5,25,34,50,55,171,82,19
0,5,18,24,35,51,130,109,8
0,7,21,29,41,54,130,159,13
0,5,19,28,47,54,114,89,12
0,12,22,31,48,58,149,65,10
0,7,21,29,48,55,133,35,9
0,7,26,33,50,59,79,24,8
0,6,23,30,49,55,71,156,17
0,8,22,31,51,56,109,154,15
0,6,17,36,49,55,101,110,10
0,5,30,40,51,59,102,104,7
0,8,23,29,45,51,98,50,15
0,6,17,31,46,51,144,59,15
0,9,19,25,37,45,139,49,5
0,5,16,33,45,59,99,107,9
0,10,22,28,41,56,89,141,6
0,12,23,35,48,58,113,18,6
0,8,24,37,52,57,160,40,5
0,8,29,34,44,59,86,31,9
0,5,16,29,41,51,110,68,5
0,11,23,33,50,58,156,58,11
0,17,30,36,51,57,166,28,12
0,5,20,29,50,59,133,62,16
0,8,21,35,45,58,77,142,13
0,5,18,30,49,58,71,13,5
0,8,29,36,47,55,156,95,7
0,8,25,32,43,59,112,104,10
0,11,22,38,52,59,168,95,25
0,11,25,36,47,60,135,129,8
0,11,25,30,42,57,157,53,12
0,5,17,28,43,54,105,63,19
0,13,28,37,47,59,71,53,8
0,11,25,33,48,56,110,121,11
0,6,18,33,46,58,149,30,7
0,6,20,27,37,55,58,52,8
0,5,15,26,43,52,130,166,8
0,13,28,35,45,57,123,101,9
0,7,18,29,41,46,76,138,15
0,13,24,31,49,59,118,41,16
0,8,18,28,46,56,107,54,14
0,7,26,40,53,60,77,153,27
0,9,19,24,55,60,94,24,7
0,13,24,34,50,60,84,65,13
0,7,19,25,48,58,75,59,13
0,10,21,35,54,60,174,14,5
0,16,31,37,51,60,173,26,6
0,17,34,41,53,58,136,11,5
0,5,31,40,51,57,117,27,8
0,5,19,36,52,59,126,81,25
0,9,24,30,48,53,120,43,11
0,9,23,33,44,53,119,115,9
0,7,20,38,54,59,130,43,10
0,8,19,24,37,45,131,58,7
0,5,21,41,51,60,130,66,19
0,5,18,30,40,55,149,31,7
0,7,26,33,46,54,167,21,5
0,5,23,39,51,58,43,41,5
0,10,20,28,47,58,140,24,5
0,16,27,40,51,60,125,59,10
0,18,28,34,50,57,148,155,10
0,10,23,36,53,58,84,46,10
0,6,21,31,46,58,57,20,5
0,11,23,39,51,58,109,39,17
0,12,22,29,46,58,130,16,6
0,10,22,32,51,57,105,43,13
0,14,30,35,45,53,69,46,15
0,5,15,29,40,48,160,100,6
0,9,22,33,44,59,65,39,11
0,9,28,36,51,59,141,42,15
0,5,16,26,39,49,93,78,13
0,9,20,31,42,50,129,33,8
0,6,20,42,53,60,90,44,17
0,12,35,40,50,56,127,104,8
0,18,31,37,47,59,160,123,10
0,6,20,25,48,53,68,66,13
0,10,21,42,54,60,148,89,26
0,11,28,35,49,59,56,71,12
0,6,17,38,49,57,111,73,17
0,7,19,33,48,53,127,105,15
0,9,26,34,51,58,96,43,13
0,14,27,32,48,60,150,76,12
0,5,17,27,45,59,58,28,5
0,6,19,29,40,47,93,92,11
0,8,20,25,40,46,105,172,5
0,8,19,24,36,56,107,42,12
0,13,33,42,52,58,170,150,12
0,7,17,27,44,52,103,98,16
0,6,21,39,50,55,147,28,6
0,17,31,37,53,59,89,32,8
0,7,17,24,35,49,167,62,10
0,5,24,35,49,57,117,105,13
0,9,19,36,47,58,161,24,5
0,5,16,24,36,51,114,51,7
0,9,20,26,46,51,67,27,6
0,9,28,34,48,58,85,130,17
0,5,18,34,51,59,143,23,9
0,6,17,23,33,55,164,151,13
0,6,20,40,52,59,151,51,8
0,5,17,26,39,56,55,58,8
0,5,16,30,41,57,102,18,6
0,5,20,28,38,47,168,21,6
0,6,18,29,44,53,131,52,15
0,8,21,39,49,55,101,91,10
0,8,20,26,53,58,84,152,12
0,5,18,25,38,53,69,131,5
0,6,21,29,42,57,84,35,6
0,10,35,41,53,59,123,93,8
0,5,15,24,35,45,131,173,13
0,5,20,29,40,60,74,117,18
0,5,18,29,42,50,63,152,13
0,7,20,31,41,48,153,135,14
0,5,24,32,52,59,50,41,5
0,13,32,41,54,59,145,57,11
0,6,28,37,51,60,52,130,14
0,6,22,31,43,54,66,64,17
0,9,22,28,47,52,76,49,14
0,7,27,36,50,56,122,54,10
0,12,28,38,53,58,137,132,11
0,5,20,26,48,59,147,74,14
0,8,26,33,46,55,75,13,5
0,6,20,33,43,59,62,65,8
0,6,18,33,50,58,92,36,9
0,13,26,35,51,60,105,127,10
0,6,24,29,41,58,76,31,8
0,13,23,32,46,58,110,83,18
0,5,15,37,50,58,109,127,30
0,9,30,35,45,52,101,39,5
0,6,36,41,53,58,77,74,8
0,6,16,25,42,50,116,108,12
0,11,27,36,52,57,111,58,12
0,6,17,24,41,52,141,147,7
0,13,24,37,47,60,118,35,7
0,6,24,39,49,58,117,62,22
0,9,24,31,50,59,125,86,5
0,9,25,33,45,56,170,28,8
0,10,23,30,44,50,115,110,11
0,6,16,29,47,59,61,24,5
0,9,24,30,41,46,171,171,13
0,8,25,37,50,57,107,29,9
0,11,28,33,53,60,99,78,15
0,6,23,30,47,52,95,94,6
0,5,16,24,49,57,96,44,11
0,5,22,27,45,54,85,122,7
0,5,27,37,49,56,107,48,14
0,9,19,25,53,58,168,104,13
0,8,24,38,49,55,160,41,16
0,10,26,31,42,50,76,88,12
0,5,32,37,48,56,62,47,9
0,5,16,31,50,55,161,152,12
0,7,19,24,35,51,142,29,8
0,14,33,38,48,54,116,61,14
0,7,19,25,46,56,161,75,8
0,5,18,25,39,44,95,66,10
0,9,24,37,47,59,134,53,20
0,15,31,39,55,60,70,74,16
0,17,28,39,54,59,100,79,25
0,5,20,28,43,52,102,47,10
0,5,26,39,52,57,155,58,7
0,7,17,23,34,56,149,132,6
0,5,17,26,41,60,131,50,9
0,6,16,26,39,58,67,64,18
0,8,20,32,44,52,124,90,20
0,22,33,41,53,58,97,102,20
0,7,18,23,40,59,86,17,5
0,11,27,34,50,58,100,64,8
0,8,20,28,42,60,160,57,12
0,7,23,39,52,60,72,68,6
0,8,24,33,44,51,134,41,7
0,7,22,39,53,58,99,68,29
0,11,27,32,44,55,81,23,5
0,9,22,28,38,60,132,60,14
0,12,32,40,51,60,120,87,14
0,6,25,40,50,57,116,129,22
0,6,29,36,48,54,52,105,7
0,9,23,29,43,59,115,14,5
0,9,23,29,47,58,147,87,12
0,8,18,27,38,53,118,82,13
0,9,21,28,53,58,103,15,5
0,11,23,34,46,51,170,27,5
0,5,17,23,49,60,63,122,8
0,12,27,32,48,55,75,39,6
0,13,23,34,52,58,128,93,21
0,10,20,25,36,44,88,134,8
0,6,23,28,42,47,99,57,6
0,17,27,38,49,54,115,106,8
0,7,26,32,47,57,127,37,6
0,7,20,28,47,54,103,162,11
0,12,23,36,47,55,173,18,6
0,5,25,40,51,59,159,42,14
0,11,22,28,46,53,170,89,7
0,8,26,31,42,59,77,31,6
0,7,17,22,33,45,166,18,5
0,7,19,29,45,50,125,78,16
0,9,24,34,46,58,90,160,17
0,16,29,41,52,57,111,140,23
0,7,20,34,48,56,143,121,13
0,6,20,30,42,49,61,121,15
0,5,18,28,41,55,74,66,5
0,19,29,37,49,57,138,29,8
0,14,24,33,47,54,170,52,20
0,10,20,25,40,53,111,106,13
0,5,21,31,41,60,39,18,5
0,5,21,27,38,45,96,21,6
0,12,23,29,40,60,91,172,11
0,12,27,36,50,55,166,91,8
0,12,25,36,49,59,139,18,5
0,10,20,29,40,47,173,109,18
0,14,28,37,51,59,174,26,9
0,9,25,40,51,57,164,159,7
0,9,20,36,50,58,121,57,22
0,7,25,34,46,51,65,50,12
0,5,21,38,48,57,166,91,12
0,9,22,28,52,57,157,173,10
0,5,18,27,50,60,67,77,14
0,8,18,30,48,55,158,48,7
0,6,29,34,51,59,112,121,6
0,7,22,28,39,48,163,168,10
0,6,20,35,48,55,169,73,20
0,7,22,37,49,58,153,26,6
0,5,17,29,39,47,108,154,17
0,5,24,31,46,60,73,94,14
0,8,21,28,39,60,101,33,9
0,6,22,31,42,59,157,171,10
0,5,15,26,45,59,134,38,5
0,5,35,40,52,60,163,21,6
0,5,17,26,43,54,135,71,8
0,8,31,37,47,53,146,85,12
0,10,24,30,51,59,116,52,14
0,8,23,41,51,60,121,103,30
0,6,20,39,51,56,142,81,19
0,12,33,38,49,59,67,19,6
0,11,26,33,44,58,153,63,13
0,10,21,28,40,58,140,73,11
0,7,18,35,51,58,104,58,7
0,8,18,34,46,59,108,67,5
0,6,16,29,40,56,166,33,8
0,7,19,25,45,54,97,46,10
0,5,19,29,44,53,56,49,12
0,6,25,36,48,58,164,169,6
0,9,21,28,50,58,96,111,13
0,5,22,35,46,58,66,53,14
0,14,33,38,49,56,78,34,8
0,6,22,30,47,56,97,147,8
0,7,17,23,33,43,114,140,7
0,5,27,32,42,52,145,94,11
0,10,25,31,42,58,111,35,10
0,8,24,33,43,52,161,165,19
0,8,20,33,49,54,145,114,13
0,8,23,32,43,53,83,111,16
0,12,24,37,51,56,134,89,7
0,6,18,25,37,52,62,36,5
0,10,24,35,49,58,174,58,21
0,15,26,41,53,58,102,26,10
0,5,20,33,51,56,139,133,17
0,9,21,33,49,54,162,73,18
0,5,23,43,54,60,131,117,33
0,11,26,38,48,60,76,140,17
0,6,17,24,34,54,154,82,14
0,7,27,35,47,56,105,67,15
0,5,17,23,35,53,77,49,13
0,6,26,34,45,54,104,40,14
0,8,27,32,48,60,114,53,9
0,8,27,34,53,59,104,121,16
0,27,37,42,55,60,168,57,6
0,9,27,44,54,59,98,23,5
0,5,17,33,46,58,152,38,7
0,16,28,45,55,60,165,82,23
0,5,23,36,47,60,135,32,7
0,15,31,36,52,58,112,53,6
0,7,19,28,47,57,63,84,5
0,7,31,40,50,55,90,46,11
0,10,23,39,52,60,132,114,10
0,5,20,25,47,60,123,89,5
0,13,33,38,49,54,62,33,8
0,5,18,44,55,60,61,61,13
0,17,28,43,54,59,109,64,9
0,12,24,33,45,58,139,23,7
0,15,28,34,46,60,92,36,5
0,11,25,31,52,59,101,45,15
0,10,24,36,51,57,135,136,23
0,5,17,26,36,50,112,36,5
0,23,33,40,55,60,103,88,6
0,6,27,36,50,57,124,27,6
0,9,19,36,46,57,161,35,13
0,8,20,30,48,53,120,64,5
0,9,21,27,49,57,136,43,5
0,5,17,31,44,52,123,132,11
0,10,25,33,52,57,108,165,12
0,10,22,29,43,58,110,61,7
0,6,22,32,42,54,129,56,13
0,11,22,33,47,58,135,103,10
0,11,30,36,49,59,61,31,6
0,5,18,25,44,60,124,66,5
0,5,16,22,33,46,126,43,11
0,5,15,21,31,54,134,72,5
0,8,24,36,49,55,118,115,16
0,5,21,26,50,60,147,91,9
0,8,28,36,49,56,172,71,6
0,5,24,35,45,54,139,170,9
0,5,31,39,50,56,52,100,10
0,5,16,22,35,55,126,119,10
0,5,23,31,50,60,159,55,16
0,8,18,28,43,54,77,57,12
0,5,21,32,42,60,84,75,22
0,11,27,32,49,58,100,19,7
0,6,25,36,46,52,60,50,6
0,5,15,24,34,44,58,31,8
0,7,19,25,51,59,171,35,5
0,16,28,33,43,48,87,154,5
0,16,26,36,51,59,123,66,9
0,13,24,29,46,53,133,166,5
0,12,25,41,51,60,69,169,17
0,13,28,33,45,58,110,135,8
0,5,15,27,46,57,165,27,6
0,9,23,28,55,60,130,60,11
0,14,25,30,46,53,125,31,6
0,9,22,32,46,55,165,151,18
0,5,15,22,51,56,65,20,6
0,15,27,37,50,58,143,32,8
0,10,22,30,47,60,81,60,10
0,7,21,28,40,48,109,70,9
0,10,28,33,43,50,105,63,12
0,13,26,38,50,56,94,131,24
0,5,25,30,40,58,63,38,13
0,5,22,29,47,57,159,90,15
0,10,36,42,54,59,103,110,14
0,9,20,31,43,49,128,71,7
0,5,22,33,46,60,108,20,6
0,7,26,37,48,54,114,31,7
0,7,20,32,42,47,71,163,19
0,6,19,29,40,54,98,82,13
0,11,26,37,50,57,153,21,9
0,6,19,30,43,54,76,25,7
0,14,27,32,50,59,76,36,12
0,10,34,39,51,56,116,12,5
0,10,31,39,50,57,120,50,16
0,6,17,27,39,59,148,34,10
0,7,25,35,48,53,44,67,18
0,12,32,38,48,53,151,17,5
0,11,21,35,45,58,136,39,13
0,6,24,33,43,60,148,55,15
0,11,32,37,48,54,164,18,7
0,15,32,41,54,60,101,73,19
0,7,20,33,49,54,102,104,8
0,10,21,27,37,48,171,162,13
0,6,29,38,50,56,93,85,9
0,7,20,36,47,54,74,26,5
0,9,20,30,49,54,165,39,16
0,12,22,33,48,56,165,87,13
0,8,19,24,42,58,73,21,6
0,13,26,34,45,54,91,16,5
0,5,23,30,42,48,78,142,14
0,8,21,26,42,48,67,40,10
0,8,29,37,51,59,105,131,14
0,6,20,28,45,54,84,22,8
0,13,28,37,47,57,95,105,20
0,16,29,38,48,60,128,19,6
0,5,24,29,47,57,162,36,8
0,10,23,31,41,58,88,106,11
0,9,25,32,53,60,81,54,5
0,10,23,33,54,60,136,66,12
0,12,24,30,40,60,75,87,12
0,5,16,27,37,53,103,45,9
0,5,17,24,39,47,88,69,14
0,13,23,32,49,55,117,84,9
0,14,25,33,43,52,119,163,7
0,5,20,31,42,59,152,34,12
0,9,25,39,54,59,80,77,19
0,12,22,31,55,60,87,17,7
0,9,23,39,49,54,73,21,6
0,10,28,36,52,58,150,161,18
0,5,26,39,50,56,108,18,7
0,10,21,30,42,57,93,132,5
0,7,23,28,39,59,126,15,5
0,5,15,26,38,54,145,67,17
0,12,23,34,44,52,142,62,5
0,5,15,30,42,54,112,49,17
0,8,21,27,37,48,110,48,6
0,6,18,28,40,47,162,163,9
0,8,28,33,47,60,103,73,13
0,6,17,31,52,60,130,21,5
0,5,18,29,45,57,172,63,11
0,6,16,37,49,56,79,128,15
0,7,27,34,49,55,75,120,11
0,5,17,26,38,45,98,38,10
0,11,25,36,46,60,101,91,6
0,10,22,34,44,52,141,60,7
0,5,15,35,47,60,104,145,7
0,5,18,25,40,56,94,34,8
0,6,17,28,42,50,98,96,12
0,7,20,25,44,50,148,51,6
0,12,25,34,51,58,146,156,21
0,7,23,28,42,57,70,124,7
0,7,18,24,44,57,122,43,6
0,5,22,31,44,53,172,20,7
0,10,26,32,45,59,90,17,6
0,7,19,27,45,59,126,69,10
0,14,25,30,44,57,104,54,7
0,9,22,27,54,59,118,27,8
0,9,21,39,49,59,165,113,7
0,11,30,41,51,60,80,64,17
0,10,20,25,36,59,85,93,5
0,11,23,32,45,53,74,13,5
0,9,19,27,47,58,100,134,16
0,5,21,28,39,54,47,34,6
0,6,20,36,46,51,130,63,6
0,7,26,35,47,58,133,42,15
0,9,29,38,49,54,144,125,10
0,8,19,30,40,55,174,87,20
0,9,22,31,41,59,139,50,14
0,11,29,40,50,57,73,165,13
0,15,25,31,47,55,107,15,5
0,7,21,32,52,58,102,126,8
0,14,30,42,52,58,163,67,14
0,6,16,29,40,53,150,42,11
0,8,20,30,46,57,158,96,9
0,13,25,31,43,60,159,17,6
0,8,20,31,52,57,148,59,7
0,5,15,22,37,52,59,104,12
0,5,20,36,46,57,122,48,18
0,9,21,35,46,54,95,57,15
0,7,30,35,50,57,145,42,16
0,9,19,39,50,58,91,16,6
0,8,18,29,40,52,154,163,18
0,5,21,35,53,58,90,20,8
0,8,20,30,40,51,88,46,9
0,14,25,39,49,59,113,33,6
0,17,27,33,49,60,172,133,8
0,6,27,36,50,59,64,71,12
0,14,27,33,45,55,86,49,12
0,11,23,30,41,50,120,125,14
0,5,23,43,53,59,171,27,10
0,5,35,40,55,60,121,51,11
0,12,23,32,47,56,132,55,14
0,17,29,36,46,53,143,35,5
0,12,29,34,46,55,141,123,14
0,5,30,36,53,60,94,144,13
0,22,33,42,53,59,105,174,7
0,8,25,34,48,60,149,35,13
0,9,19,33,48,55,146,56,13
0,10,21,26,40,59,167,61,9
0,8,23,28,38,59,165,143,12
0,5,28,38,48,54,31,158,18
0,11,25,32,51,60,68,31,9
0,7,17,26,44,51,126,41,5
0,7,17,30,48,56,125,75,10
0,11,21,30,40,55,166,66,10
0,7,20,31,44,58,153,155,19
0,8,22,27,41,56,154,164,9
0,9,33,38,49,57,108,20,8
0,5,33,41,52,58,77,70,22
0,6,16,30,45,52,121,88,8
0,9,19,26,37,58,101,23,5
0,11,23,36,48,55,107,122,7
0,10,25,38,52,58,108,47,10
0,13,32,38,51,56,107,173,17
0,5,17,32,45,57,174,170,15
0,5,17,33,50,58,69,41,7
0,11,22,28,38,56,141,161,14
0,6,31,36,47,53,110,156,14
0,5,19,25,46,55,105,118,13
0,6,22,42,54,59,69,139,9
0,12,24,29,46,59,138,60,6
0,9,27,39,50,60,110,147,5
0,9,26,40,54,60,98,36,10
0,7,21,34,44,52,81,118,19
0,5,18,35,49,55,53,82,10
0,7,30,42,54,59,74,21,6
0,9,23,33,47,60,169,113,15
0,8,24,36,48,58,97,152,18
0,10,29,36,50,58,151,16,5
0,10,28,34,46,58,172,33,5
0,7,27,32,53,59,40,47,8
0,7,30,36,47,59,155,92,17
0,7,23,44,55,60,151,29,12
0,20,31,36,47,52,172,154,10
0,9,22,31,41,55,69,94,18
0,6,27,33,50,56,145,18,5
0,14,26,39,51,60,84,78,10
0,6,21,34,47,56,122,82,19
0,5,18,29,39,46,151,39,6
